cx,cy,r,stroke-width,stroke,fill,label
872.0787368336514,284.65961805915805,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
856.5007796951129,314.4893867997295,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
724.4212730870609,294.95565558765367,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
862.6737429168363,280.9916676713909,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1030.3635709556718,257.6190550624499,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
839.7748502412694,194.32341919628283,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
895.6901693274876,307.7239620075733,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
441.62345525783786,292.42848319784247,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
900.7060926264066,245.8213136075655,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
796.7422651687974,324.1017464777343,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
916.7143604652116,285.9887601192168,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
780.6118040782736,248.31201373996674,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
945.3703115115543,258.9718469536364,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
521.9044250405079,263.088840161309,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
882.1315011853472,207.9220098587304,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
731.814988549577,243.60198765108854,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1017.9368919157714,325.1872280554333,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
924.1778806190184,338.6144833341509,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
676.5796116703034,234.56641100280308,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
861.9992803890215,277.29578338132944,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
918.5799322731302,218.88789473182578,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
769.9875336851215,292.87322750747404,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
822.962216137744,315.6589962177287,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
487.7762090835464,209.3924306421447,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
613.8883195398328,184.49148733437775,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
721.5964977887148,232.35825673647065,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
462.7124315985094,185.49226809388796,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
748.9450046962281,242.09947346627752,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
439.3760871691178,275.0823096740645,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
681.6099776444223,270.7404166869058,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
333.1917118459996,181.30106380024424,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
988.5233969842571,271.3119722941366,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1170.8757960847706,285.04505920919996,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
842.7202072513257,222.75846619725226,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1141.2937171146746,305.5500361513208,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
864.414581231893,225.4490493707071,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
802.751541636549,225.7319540535108,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
862.4909229932382,280.9810494951833,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1130.3001341155023,310.4223711870324,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1203.0298382275178,272.8323814387644,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1002.440993748239,290.4377228208162,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
